Artist,Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Khalid,"lovely (with Khalid)",0.351,0.296,4,-10.109,0.0333,0.934,0,0.095,0.12,115.284
Khalid,"Eastside (with Halsey & Khalid)",0.632,0.686,6,-7.665,0.243,0.549,0,0.2,0.329,89.949
Zedd,"The Middle",0.753,0.657,7,-3.061,0.0449,0.171,0,0.112,0.437,107.01
"Nine Inch Nails",Closer,0.547,0.714,10,-8.628,0.044,0.000242,0.636,0.122,0.541,89.996
"Jimmy Eat World","The Middle",0.643,0.849,2,-5.428,0.0526,0.0371,0,0.058,0.903,162.152
Grey,"The Middle",0.753,0.657,7,-3.061,0.0449,0.171,0,0.112,0.437,107.01
"Kings of Leon",Closer,0.398,0.768,11,-4.624,0.0392,0.469,0.0000202,0.106,0.235,108.685
"Maren Morris","The Middle",0.753,0.657,7,-3.061,0.0449,0.171,0,0.112,0.437,107.01
Macklemore,"Can't Hold Us (feat. Ray Dalton)",0.633,0.927,2,-4.468,0.0839,0.0267,0,0.0986,0.88,146.097
Ne-Yo,Closer,0.711,0.753,4,-6.461,0.0766,0.028,0.0000296,0.152,0.588,126.051
"Ed Sheeran",Happier,0.522,0.385,0,-7.355,0.0288,0.536,0,0.135,0.236,89.792
"benny blanco","Eastside (with Halsey & Khalid)",0.632,0.686,6,-7.665,0.243,0.549,0,0.2,0.329,89.949
"Ryan Lewis","Can't Hold Us (feat. Ray Dalton)",0.633,0.927,2,-4.468,0.0839,0.0267,0,0.0986,0.88,146.097
"Imagine Dragons","Enemy (with JID) - from the series Arcane League of Legends",0.728,0.783,11,-4.424,0.266,0.237,0,0.434,0.555,77.011
"Justin Bieber","STAY (with Justin Bieber)",0.591,0.764,1,-5.484,0.0483,0.0383,0,0.103,0.478,169.928
"Macklemore & Ryan Lewis","Can't Hold Us (feat. Ray Dalton)",0.633,0.927,2,-4.468,0.0839,0.0267,0,0.0986,0.88,146.097
Bastille,Happier,0.687,0.792,5,-2.749,0.0452,0.191,0,0.167,0.671,100.015
Halsey,Closer,0.748,0.524,8,-5.599,0.0338,0.414,0,0.111,0.661,95.01
Halsey,"Eastside (with Halsey & Khalid)",0.632,0.686,6,-7.665,0.243,0.549,0,0.2,0.329,89.949
"The Chainsmokers",Closer,0.748,0.524,8,-5.599,0.0338,0.414,0,0.111,0.661,95.01
"Shawn Mendes",Señorita,0.759,0.548,9,-6.049,0.029,0.0392,0,0.0828,0.749,116.967
"League of Legends","Enemy (with JID) - from the series Arcane League of Legends",0.728,0.783,11,-4.424,0.266,0.237,0,0.434,0.555,77.011
"Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse",0.755,0.522,2,-4.368,0.0575,0.533,0,0.0685,0.925,89.96
"Post Malone","Sunflower - Spider-Man: Into the Spider-Verse",0.755,0.522,2,-4.368,0.0575,0.533,0,0.0685,0.925,89.96
Marshmello,Happier,0.687,0.792,5,-2.749,0.0452,0.191,0,0.167,0.671,100.015
"Camila Cabello",Señorita,0.759,0.548,9,-6.049,0.029,0.0392,0,0.0828,0.749,116.967
JID,"Enemy (with JID) - from the series Arcane League of Legends",0.728,0.783,11,-4.424,0.266,0.237,0,0.434,0.555,77.011
"Billie Eilish","lovely (with Khalid)",0.351,0.296,4,-10.109,0.0333,0.934,0,0.095,0.12,115.284
"Olivia Rodrigo",happier,0.395,0.443,6,-9.72,0.133,0.765,0.00000967,0.0839,0.338,168.924
"The Kid LAROI","STAY (with Justin Bieber)",0.591,0.764,1,-5.484,0.0483,0.0383,0,0.103,0.478,169.928
Arcane,"Enemy (with JID) - from the series Arcane League of Legends",0.728,0.783,11,-4.424,0.266,0.237,0,0.434,0.555,77.011
