Artist,Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
"Daddy Yankee",Despacito,0.655,0.797,2,-4.787,0.153,0.198,0,0.067,0.839,177.928
Farruko,"Calma - Remix",0.826,0.764,11,-4.341,0.0522,0.337,0,0.161,0.761,126.9
"Luis Fonsi",Despacito,0.655,0.797,2,-4.787,0.153,0.198,0,0.067,0.839,177.928
Raffi,"Wheels On The Bus",0.818,0.309,4,-12.522,0.0771,0.656,0,0.439,0.797,86.322
"Mark Ronson","Uptown Funk (feat. Bruno Mars)",0.856,0.609,0,-7.223,0.0824,0.00801,0.0000815,0.0344,0.928,114.988
Rihanna,"This Is What You Came For",0.631,0.927,9,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962
"Ed Sheeran","Shape of You",0.825,0.652,1,-3.183,0.0802,0.581,0,0.0931,0.931,95.977
"Wiz Khalifa","See You Again (feat. Charlie Puth)",0.689,0.481,10,-7.503,0.0815,0.369,0.00000103,0.0649,0.283,80.025
"Calvin Harris","This Is What You Came For",0.631,0.927,9,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962
"Jason Derulo","Swalla (feat. Nicki Minaj & Ty Dolla $ign)",0.696,0.817,1,-3.862,0.109,0.075,0,0.187,0.782,98.064
"Pedro Capó","Calma - Remix",0.826,0.764,11,-4.341,0.0522,0.337,0,0.161,0.761,126.9
"Nicki Minaj","Swalla (feat. Nicki Minaj & Ty Dolla $ign)",0.696,0.817,1,-3.862,0.109,0.075,0,0.187,0.782,98.064
"Selena Gomez","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.842,0.801,8,-4.167,0.228,0.157,0.00000482,0.0642,0.617,95.881
"Major Lazer","Lean On",0.723,0.809,7,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007
"Ty Dolla $ign","Swalla (feat. Nicki Minaj & Ty Dolla $ign)",0.696,0.817,1,-3.862,0.109,0.075,0,0.187,0.782,98.064
"Charlie Puth","See You Again (feat. Charlie Puth)",0.689,0.481,10,-7.503,0.0815,0.369,0.00000103,0.0649,0.283,80.025
"DJ Snake","Lean On",0.723,0.809,7,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007
MØ,"Lean On",0.723,0.809,7,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007
Ozuna,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.842,0.801,8,-4.167,0.228,0.157,0.00000482,0.0642,0.617,95.881
CoComelon,"Wheels on the Bus",0.941,0.387,9,-11.92,0.0427,0.184,0.0000288,0.157,0.965,125.021
