Track,Feature,Value
"Something Just Like This",Danceability,0.617
Despacito,Danceability,0.655
"Calma - Remix",Danceability,0.826
Despacito,Danceability,0.655
"Échame La Culpa",Danceability,0.733
"Somebody That I Used To Know",Danceability,0.576
Perfect,Danceability,0.769
"Gangnam Style (강남스타일)",Danceability,0.727
"Wheels On The Bus",Danceability,0.818
Perfect,Danceability,0.494
"Uptown Funk (feat. Bruno Mars)",Danceability,0.856
"Bang Bang",Danceability,0.705
"Somebody That I Used To Know",Danceability,0.864
"This Is What You Came For",Danceability,0.631
"Thrift Shop (feat. Wanz)",Danceability,0.781
Perfect,Danceability,0.599
"Shape of You",Danceability,0.825
"See You Again (feat. Charlie Puth)",Danceability,0.689
"This Is What You Came For",Danceability,0.631
"No Me Conoce - Remix",Danceability,0.804
"Con Altura",Danceability,0.882
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Danceability,0.696
"Calma - Remix",Danceability,0.826
"Bang Bang",Danceability,0.706
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Danceability,0.696
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Danceability,0.842
"Échame La Culpa",Danceability,0.733
"Lean On",Danceability,0.723
"Thrift Shop (feat. Wanz)",Danceability,0.781
"Somebody That I Used To Know",Danceability,0.864
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Danceability,0.696
"Bang Bang",Danceability,0.705
Perfect,Danceability,0.647
"See You Again (feat. Charlie Puth)",Danceability,0.689
"Thrift Shop (feat. Wanz)",Danceability,0.781
"Bang Bang",Danceability,0.706
"Lean On",Danceability,0.723
"Sin Pijama",Danceability,0.788
"Something Just Like This",Danceability,0.617
"Sin Pijama",Danceability,0.788
"Lean On",Danceability,0.723
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Danceability,0.842
"Bang Bang",Danceability,0.553
"Con Altura",Danceability,0.882
"No Me Conoce - Remix",Danceability,0.804
"Wheels on the Bus",Danceability,0.941
"Something Just Like This",Energy,0.635
Despacito,Energy,0.797
"Calma - Remix",Energy,0.764
Despacito,Energy,0.797
"Échame La Culpa",Energy,0.897
"Somebody That I Used To Know",Energy,0.367
Perfect,Energy,0.829
